Time,a,b,c,d
07/12 10:19:53,1,19,0,28
07/12 10:19:59,1,19,0,29
07/17 14:33:38,1,19,0,29
07/17 14:33:38,1,19,0,29
07/17 14:35:38,1,19,0,29
07/17 14:35:39,1,19,0,29
07/17 14:35:51,1,19,0,29
07/17 14:35:52,1,19,0,29
07/17 14:39:52,1,19,0,29
07/17 14:39:52,1,19,0,29
07/17 14:40:39,1,19,0,29
07/17 14:40:39,1,19,0,29
07/17 14:41:26,1,19,0,29
07/17 14:41:27,1,19,0,29
07/17 14:50:15,1,19,0,29
07/17 14:51:19,1,19,0,29
07/17 14:52:27,1,19,0,29
07/17 14:55:27,1,19,0,29
07/17 15:04:00,1,19,0,29
07/17 15:04:26,1,19,0,29
07/17 15:37:50,1,19,0,29
07/17 15:45:29,4,21,37,29
07/17 16:33:02,4,21,37,29
07/17 16:33:51,4,21,50,29
07/18 09:15:09,4,21,50,29
07/18 09:16:12,4,21,63,29
07/18 14:12:19,4,21,76,29
07/18 14:14:03,4,21,89,29
07/18 14:20:58,4,21,102,29
07/18 14:22:50,4,21,115,29
