Time,a,b,c,d
07/31 17:27:20,0,8,0,0
Time,a,b,c,d
07/31 17:27:54,0,2,0,0
Time,a,b,c,d
07/31 17:30:06,0,7,0,0
Time,a,b,c,d
07/31 17:32:49,0,8,0,0
Time,a,b,c,d
08/01 09:30:51,0,20,0,0
Time,a,b,c,d
08/01 09:42:57,0,19,0,0
Time,a,b,c,d
08/01 09:44:38,2,10,0,0
Time,a,b,c,d
08/01 09:49:38,1,21,0,0
Time,a,b,c,d
08/01 10:21:17,0,47,0,0
Time,a,b,c,d
08/01 10:24:40,0,32,0,0
Time,a,b,c,d
08/01 10:31:38,0,32,0,0
Time,a,b,c,d
08/01 10:33:15,0,8,0,0
Time,a,b,c,d
08/01 10:33:50,0,12,0,0
Time,a,b,c,d
08/01 11:36:42,18,45,0,0
Time,a,b,c,d
08/01 13:14:45,14,50,0,0
Time,a,b,c,d
08/01 13:15:53,8,26,0,0
Time,a,b,c,d
08/01 13:17:14,0,21,0,0
Time,a,b,c,d
08/01 13:17:58,0,21,0,0
Time,a,b,c,d
08/01 13:23:26,0,21,0,0
Time,a,b,c,d
08/01 13:28:22,11,10,0,0
Time,a,b,c,d
08/01 13:28:48,10,4,0,0
Time,a,b,c,d
08/01 13:31:40,0,35,0,0
Time,a,b,c,d
08/01 13:43:22,1,22,0,0
Time,a,b,c,d
08/01 13:44:38,5,16,0,0
Time,a,b,c,d
08/01 14:24:27,7,40,0,0
Time,a,b,c,d
08/01 14:25:52,2,18,0,0
Time,a,b,c,d
08/01 14:26:35,18,3,0,0
Time,a,b,c,d
08/01 14:28:07,18,3,0,0
Time,a,b,c,d
08/01 14:28:45,2,18,0,0
Time,a,b,c,d
08/01 14:34:33,2,18,0,0
Time,a,b,c,d
08/01 14:35:27,2,18,0,0
Time,a,b,c,d
08/01 14:36:21,0,2,0,0
Time,a,b,c,d
08/01 14:43:12,0,1,0,0
Time,a,b,c,d
08/01 14:44:48,0,14,0,0
Time,a,b,c,d
08/01 14:45:34,18,34,0,0
Time,a,b,c,d
08/01 14:49:25,17,35,0,0
Time,a,b,c,d
08/01 14:51:08,18,34,0,0
Time,a,b,c,d
08/01 14:53:41,30,25,0,0
Time,a,b,c,d
08/01 14:56:38,31,24,0,0
Time,a,b,c,d
08/01 14:59:22,20,17,0,0
Time,a,b,c,d
08/01 15:01:09,49,13,0,0
Time,a,b,c,d
08/01 15:03:14,48,10,0,0
Time,a,b,c,d
08/01 15:05:06,17,39,0,0
Time,a,b,c,d
08/01 15:06:20,21,10,0,0
Time,a,b,c,d
08/01 15:09:03,18,16,0,0
Time,a,b,c,d
08/01 15:10:30,19,15,0,0
Time,a,b,c,d
08/01 15:15:04,48,10,0,0
Time,a,b,c,d
08/01 15:18:52,18,17,0,0
Time,a,b,c,d
08/01 15:22:34,16,20,0,0
Time,a,b,c,d
08/01 15:27:33,15,20,0,0
Time,a,b,c,d
08/01 15:31:27,14,23,0,0
Time,a,b,c,d
08/01 15:37:34,22,16,0,0
Time,a,b,c,d
08/01 15:38:40,13,24,0,0
Time,a,b,c,d
08/01 16:25:28,12,9,0,0
Time,a,b,c,d
08/01 17:54:36,0,0,0,0
Time,a,b,c,d
08/02 13:43:01,0,0,0,0
Time,a,b,c,d
08/02 13:47:47,0,0,0,0
Time,a,b,c,d
08/05 09:33:53,0,0,0,0
Time,a,b,c,d
08/05 09:34:47,0,0,0,0
Time,a,b,c,d
08/05 09:36:16,0,0,0,0
Time,a,b,c,d
08/05 09:37:17,4,16,0,0
Time,a,b,c,d
08/05 09:37:43,0,4,0,0
Time,a,b,c,d
08/05 09:38:13,0,4,0,0
Time,a,b,c,d
08/05 09:38:53,0,10,0,0
Time,a,b,c,d
08/05 09:39:35,17,5,0,0
Time,a,b,c,d
08/05 09:46:35,2,1,0,0
Time,a,b,c,d
08/05 09:48:02,2,1,0,0
Time,a,b,c,d
08/05 09:54:34,2,1,0,0
Time,a,b,c,d
08/05 09:55:57,3,0,0,0
Time,a,b,c,d
08/05 10:00:44,17,5,0,0
Time,a,b,c,d
08/05 10:04:12,16,2,0,0
Time,a,b,c,d
08/05 10:24:41,16,2,0,0
