Time,a,b,c,d
07/29 11:58:56,1,0,4,0
Time,a,b,c,d
07/29 13:40:26,1,0,4,0
Time,a,b,c,d
07/29 13:43:41,1,0,4,0
Time,a,b,c,d
07/29 13:44:29,1,0,4,0
Time,a,b,c,d
07/29 13:45:58,1,0,4,0
Time,a,b,c,d
07/29 13:46:29,1,0,4,0
Time,a,b,c,d
07/29 13:49:20,0,2,3,0
Time,a,b,c,d
07/29 13:58:47,0,1,0,0
Time,a,b,c,d
07/29 14:00:24,0,1,0,0
Time,a,b,c,d
07/29 14:00:49,0,2,0,0
Time,a,b,c,d
07/29 14:01:20,0,2,0,0
Time,a,b,c,d
07/29 14:01:38,0,2,0,0
Time,a,b,c,d
07/29 14:02:27,0,8,0,0
Time,a,b,c,d
07/29 14:03:20,0,17,0,0
Time,a,b,c,d
07/29 14:04:05,0,9,12,0
Time,a,b,c,d
07/29 14:07:22,0,9,12,0
Time,a,b,c,d
07/29 14:09:00,0,17,0,0
Time,a,b,c,d
07/29 14:10:24,0,13,5,0
Time,a,b,c,d
07/29 14:11:31,1,16,4,0
Time,a,b,c,d
07/29 14:33:14,1,20,0,0
Time,a,b,c,d
07/29 14:33:37,0,22,0,0
Time,a,b,c,d
07/29 14:35:38,0,24,0,0
